customer_id,signup_date,country,acquisition_channel
1,2023-07-27,AR,referral
2,2024-05-31,AR,paid
3,2024-02-01,AR,organic
4,2023-11-28,AR,other
5,2023-03-18,UY,paid
6,2023-03-18,AR,organic
7,2023-01-29,AR,referral
8,2024-04-09,AR,organic
9,2023-11-29,AR,paid
10,2024-01-21,AR,organic
11,2023-01-11,AR,referral
12,2024-06-12,AR,paid
13,2024-03-22,AR,paid
14,2023-04-19,UY,organic
15,2023-03-31,AR,paid
16,2023-04-01,AR,referral
17,2023-06-14,UY,paid
18,2023-10-22,MX,paid
19,2023-09-01,UY,paid
20,2023-06-06,UY,referral
21,2023-12-04,AR,paid
22,2023-03-10,MX,referral
23,2023-06-07,AR,referral
24,2023-07-22,AR,paid
25,2023-09-16,CL,organic
26,2024-02-28,AR,paid
27,2023-04-11,MX,referral
28,2023-10-17,MX,organic
29,2023-11-25,AR,paid
30,2023-01-23,CL,referral
31,2023-12-02,AR,organic
32,2023-03-25,AR,paid
33,2023-02-02,CL,organic
34,2024-05-30,AR,organic
35,2024-06-09,MX,referral
36,2024-03-10,AR,organic
37,2023-06-14,AR,organic
38,2023-02-18,CL,referral
39,2024-01-09,MX,organic
40,2023-09-06,AR,other
41,2023-03-02,AR,other
42,2023-10-08,CL,organic
43,2023-01-17,AR,organic
44,2024-05-06,CL,referral
45,2023-05-17,AR,paid
46,2023-12-29,MX,organic
47,2023-06-19,UY,referral
48,2023-10-20,AR,organic
49,2023-11-02,MX,referral
50,2023-04-02,MX,organic
51,2024-06-12,MX,organic
52,2024-02-23,AR,organic
53,2024-05-24,MX,other
54,2024-04-27,MX,paid
55,2023-11-27,CL,referral
56,2024-05-13,MX,organic
57,2023-02-13,AR,organic
58,2023-04-09,UY,organic
59,2023-01-23,AR,paid
60,2023-06-27,AR,paid
61,2023-08-05,AR,paid
62,2023-05-25,AR,organic
63,2024-03-20,AR,other
64,2023-07-16,AR,organic
65,2023-05-31,AR,other
66,2023-10-31,MX,organic
67,2023-03-11,AR,paid
68,2024-03-07,AR,organic
69,2023-02-06,AR,paid
70,2024-06-22,AR,paid
71,2024-02-21,AR,paid
72,2023-04-10,MX,paid
73,2023-01-03,UY,referral
74,2024-03-13,CL,paid
75,2024-01-20,CL,referral
76,2024-01-31,AR,organic
77,2024-02-21,AR,paid
78,2023-02-06,AR,paid
79,2023-07-18,MX,organic
80,2023-02-27,AR,paid
81,2024-04-07,MX,organic
82,2023-12-10,AR,organic
83,2023-07-01,AR,organic
84,2023-02-01,UY,organic
85,2023-06-18,MX,paid
86,2023-06-27,CL,paid
87,2024-01-31,MX,other
88,2023-12-17,CL,referral
89,2024-04-22,MX,organic
90,2023-09-26,UY,referral
91,2023-02-28,AR,referral
92,2024-01-23,MX,paid
93,2024-02-16,MX,paid
94,2023-11-09,AR,other
95,2024-02-21,CL,paid
96,2023-10-07,UY,other
97,2023-10-21,AR,organic
98,2023-08-29,AR,organic
99,2023-01-13,AR,paid
100,2023-02-23,CL,paid
101,2023-01-16,MX,referral
102,2023-12-16,AR,other
103,2023-06-20,AR,organic
104,2023-10-14,AR,organic
105,2024-05-05,MX,referral
106,2023-05-11,AR,paid
107,2023-08-18,AR,organic
108,2024-02-13,MX,paid
109,2023-04-29,AR,referral
110,2023-02-07,AR,referral
111,2023-06-05,AR,paid
112,2023-03-21,AR,organic
113,2024-05-18,AR,other
114,2024-03-10,UY,paid
115,2023-12-15,CL,paid
116,2024-04-12,CL,organic
117,2024-03-08,UY,referral
118,2023-04-03,AR,organic
119,2024-04-25,AR,organic
120,2023-10-30,AR,paid
121,2024-03-10,CL,organic
122,2024-04-28,MX,paid
123,2023-06-23,AR,organic
124,2023-02-24,AR,paid
125,2023-04-28,AR,organic
126,2023-08-29,AR,organic
127,2024-03-15,CL,organic
128,2024-04-06,AR,other
129,2023-01-04,CL,referral
130,2023-10-15,AR,organic
131,2023-08-23,MX,referral
132,2023-04-25,UY,paid
133,2023-02-28,CL,other
134,2023-07-05,AR,organic
135,2024-05-26,AR,paid
136,2023-06-26,AR,organic
137,2023-10-19,AR,organic
138,2024-01-18,MX,other
139,2023-07-21,UY,paid
140,2024-06-13,AR,organic
141,2024-06-07,AR,organic
142,2023-05-13,AR,referral
143,2023-10-09,CL,paid
144,2023-06-12,UY,organic
145,2023-06-02,AR,other
146,2023-01-19,AR,organic
147,2023-12-03,MX,organic
148,2023-10-12,MX,other
149,2023-01-26,AR,organic
150,2023-05-29,CL,organic
151,2024-05-05,UY,paid
152,2023-05-05,MX,referral
153,2023-03-13,MX,organic
154,2023-10-05,AR,other
155,2024-06-22,MX,referral
156,2023-05-07,AR,organic
157,2024-01-03,AR,referral
158,2024-02-16,AR,organic
159,2023-05-04,AR,paid
160,2024-01-31,AR,referral
161,2023-07-23,AR,other
162,2023-12-14,MX,organic
163,2023-12-15,MX,paid
164,2023-10-28,AR,paid
165,2023-02-14,AR,organic
166,2024-03-23,CL,organic
167,2023-06-24,AR,organic
168,2023-04-03,UY,paid
169,2023-01-21,AR,paid
170,2023-11-24,MX,organic
171,2024-01-06,AR,referral
172,2023-01-09,MX,referral
173,2023-10-16,CL,paid
174,2023-04-27,UY,organic
175,2023-12-21,UY,paid
176,2023-03-27,AR,organic
177,2024-01-12,MX,organic
178,2023-08-04,AR,referral
179,2024-05-23,MX,organic
180,2023-03-09,AR,organic
181,2023-07-07,CL,organic
182,2023-02-25,CL,organic
183,2024-05-15,AR,organic
184,2024-04-16,AR,other
185,2023-05-17,AR,organic
186,2023-12-28,MX,organic
187,2024-03-14,AR,organic
188,2023-11-06,CL,other
189,2023-10-25,MX,paid
190,2023-05-07,MX,organic
191,2023-02-15,MX,referral
192,2024-04-28,AR,organic
193,2024-04-30,UY,organic
194,2023-12-15,MX,organic
195,2023-07-06,UY,organic
196,2023-07-12,AR,organic
197,2024-01-29,MX,paid
198,2024-04-28,AR,organic
199,2024-04-22,MX,paid
200,2024-02-25,MX,organic
201,2023-12-19,MX,organic
202,2023-02-11,MX,paid
203,2023-03-21,AR,other
204,2024-04-29,UY,organic
205,2023-12-02,UY,paid
206,2023-01-05,AR,organic
207,2023-02-19,UY,organic
208,2023-12-30,AR,organic
209,2023-01-03,MX,organic
210,2023-03-21,AR,organic
211,2023-11-03,UY,organic
212,2024-01-13,AR,referral
213,2023-12-24,AR,organic
214,2023-04-26,AR,paid
215,2024-01-23,AR,organic
216,2023-05-04,MX,paid
217,2023-06-27,AR,paid
218,2024-02-09,MX,organic
219,2023-12-23,UY,organic
220,2024-03-30,CL,referral
221,2023-12-27,CL,referral
222,2023-11-13,AR,organic
223,2023-02-16,AR,organic
224,2023-07-23,AR,referral
225,2023-05-21,AR,organic
226,2023-05-08,UY,paid
227,2024-06-14,AR,organic
228,2023-08-08,CL,organic
229,2024-04-25,AR,paid
230,2023-12-14,CL,paid
231,2024-03-03,AR,organic
232,2023-10-11,AR,paid
233,2023-11-17,MX,referral
234,2023-10-07,AR,paid
235,2023-04-08,MX,organic
236,2024-01-28,MX,paid
237,2023-05-31,AR,referral
238,2023-01-12,UY,referral
239,2023-12-21,AR,paid
240,2023-03-29,MX,organic
241,2024-05-25,AR,referral
242,2024-06-02,MX,paid
243,2024-05-09,AR,organic
244,2023-07-25,AR,paid
245,2023-01-08,AR,organic
246,2024-05-17,AR,paid
247,2023-08-29,AR,organic
248,2024-06-10,MX,paid
249,2024-06-08,MX,other
250,2024-04-01,AR,referral
251,2023-06-08,AR,other
252,2023-08-03,AR,other
253,2024-03-31,AR,organic
254,2023-06-22,AR,paid
255,2023-03-25,AR,paid
256,2023-11-07,UY,referral
257,2024-05-22,MX,organic
258,2024-01-15,AR,other
259,2023-11-14,AR,paid
260,2023-02-17,MX,referral
261,2023-12-06,AR,organic
262,2024-06-24,MX,organic
263,2023-03-10,UY,referral
264,2023-10-19,MX,organic
265,2024-04-16,AR,referral
266,2024-02-06,MX,organic
267,2024-01-15,UY,paid
268,2024-01-18,MX,organic
269,2023-07-18,MX,paid
270,2023-06-08,AR,paid
271,2024-03-10,AR,organic
272,2024-03-11,MX,organic
273,2024-04-10,UY,organic
274,2024-05-08,MX,paid
275,2023-10-16,MX,paid
276,2023-10-11,AR,referral
277,2024-03-05,AR,paid
278,2023-12-23,AR,paid
279,2024-01-18,AR,organic
280,2024-03-04,MX,organic
281,2024-04-24,AR,organic
282,2023-07-05,MX,other
283,2023-07-28,CL,referral
284,2023-02-16,AR,organic
285,2023-11-18,AR,paid
286,2023-01-18,MX,referral
287,2023-09-21,UY,paid
288,2023-10-31,MX,organic
289,2023-06-03,AR,organic
290,2023-11-24,AR,paid
291,2023-01-16,AR,other
292,2023-01-19,AR,paid
293,2024-03-17,CL,organic
