subscription_id,customer_id,plan_id,start_date,end_date,status,billing_cycle,cancellation_reason
1,1,2,2023-02-26,,active,monthly,
2,2,2,2023-11-20,2024-06-30,canceled,monthly,features
3,3,1,2024-01-25,,active,monthly,
4,4,1,2024-01-17,,active,monthly,
5,5,1,2023-06-07,,active,monthly,
6,6,1,2024-03-10,2024-04-10,canceled,monthly,price
7,7,4,2024-05-25,,active,yearly,
8,8,4,2023-11-30,,active,yearly,
9,9,2,2023-12-17,,active,monthly,
10,10,2,2024-01-02,2024-03-02,canceled,monthly,competitor
11,11,2,2023-05-15,2024-05-15,canceled,monthly,competitor
12,12,1,2023-11-21,,active,monthly,
13,13,2,2023-11-14,2024-06-30,canceled,monthly,competitor
14,14,1,2024-05-25,,active,monthly,
15,15,1,2024-03-03,2024-04-03,canceled,monthly,price
16,15,4,2024-04-08,,active,yearly,
17,16,4,2023-07-12,2023-12-12,canceled,yearly,competitor
18,17,4,2024-06-22,2024-06-30,canceled,yearly,other
19,18,2,2023-08-06,,active,monthly,
20,19,4,2023-12-12,,active,yearly,
21,20,1,2024-03-19,2024-05-19,canceled,monthly,price
22,21,1,2023-04-07,,active,monthly,
23,22,1,2024-03-08,,active,monthly,
24,23,4,2023-04-06,,active,yearly,
25,24,1,2024-01-10,2024-06-30,canceled,monthly,competitor
26,25,4,2024-04-19,,active,yearly,
27,26,3,2023-06-24,2024-05-24,canceled,monthly,price
28,27,1,2024-05-28,,active,monthly,
29,28,4,2023-10-22,,active,yearly,
30,29,1,2023-02-13,2023-03-13,canceled,monthly,features
31,30,1,2023-12-25,2024-06-30,canceled,monthly,price
32,31,1,2023-08-29,2024-05-29,canceled,monthly,price
33,31,4,2024-06-10,,active,yearly,
34,32,4,2023-11-13,,active,yearly,
35,33,1,2023-12-22,,active,monthly,
36,34,4,2023-10-11,,active,yearly,
37,35,2,2023-12-30,2024-01-30,canceled,monthly,price
38,36,2,2023-05-15,2023-08-15,canceled,monthly,price
39,37,1,2023-05-29,,active,monthly,
