transaction_id,payment_date,customer_id,subscription_id,plan_id,gross_amount,discount_amount,net_revenue,payment_method,transaction_status,billing_period_start,billing_period_end
1,2023-03-01,1,1,2,25.0,0.0,25.0,card,completed,2023-03-01,2023-03-31
2,2023-04-01,1,1,2,25.0,0.0,25.0,card,completed,2023-04-01,2023-04-30
3,2023-05-01,1,1,2,25.0,0.0,25.0,wallet,completed,2023-05-01,2023-05-31
4,2023-06-01,1,1,2,25.0,0.0,25.0,card,completed,2023-06-01,2023-06-30
5,2023-07-01,1,1,2,25.0,0.0,25.0,card,completed,2023-07-01,2023-07-31
6,2023-08-01,1,1,2,25.0,0.0,25.0,card,completed,2023-08-01,2023-08-31
7,2023-09-01,1,1,2,25.0,0.0,25.0,wallet,completed,2023-09-01,2023-09-30
8,2023-10-01,1,1,2,25.0,0.0,25.0,card,completed,2023-10-01,2023-10-31
9,2023-11-01,1,1,2,25.0,0.0,25.0,card,completed,2023-11-01,2023-11-30
10,2023-12-01,1,1,2,25.0,0.0,0.0,card,failed,2023-12-01,2023-12-31
11,2024-01-01,1,1,2,25.0,0.0,25.0,card,completed,2024-01-01,2024-01-31
12,2024-02-01,1,1,2,25.0,0.0,25.0,card,completed,2024-02-01,2024-02-29
13,2024-03-01,1,1,2,25.0,0.0,25.0,card,completed,2024-03-01,2024-03-31
14,2024-04-01,1,1,2,25.0,0.0,25.0,card,completed,2024-04-01,2024-04-30
15,2024-05-01,1,1,2,25.0,0.0,25.0,card,completed,2024-05-01,2024-05-31
16,2024-06-01,1,1,2,25.0,4.96,20.04,wallet,completed,2024-06-01,2024-06-30
17,2023-12-01,2,2,2,25.0,0.0,25.0,card,completed,2023-12-01,2023-12-31
18,2024-01-01,2,2,2,25.0,5.57,19.43,card,completed,2024-01-01,2024-01-31
19,2024-02-01,2,2,2,25.0,0.0,25.0,card,completed,2024-02-01,2024-02-29
20,2024-03-01,2,2,2,25.0,0.0,25.0,card,completed,2024-03-01,2024-03-31
21,2024-04-01,2,2,2,25.0,0.0,0.0,card,failed,2024-04-01,2024-04-30
22,2024-05-01,2,2,2,25.0,0.0,25.0,card,completed,2024-05-01,2024-05-31
23,2024-06-01,2,2,2,25.0,0.0,25.0,card,completed,2024-06-01,2024-06-30
24,2024-02-01,3,3,1,10.0,0.56,9.44,card,completed,2024-02-01,2024-02-29
25,2024-03-01,3,3,1,10.0,0.0,10.0,card,completed,2024-03-01,2024-03-31
26,2024-04-01,3,3,1,10.0,0.0,10.0,wallet,completed,2024-04-01,2024-04-30
27,2024-05-01,3,3,1,10.0,0.0,10.0,wallet,completed,2024-05-01,2024-05-31
28,2024-06-01,3,3,1,10.0,0.0,10.0,card,completed,2024-06-01,2024-06-30
29,2024-02-01,4,4,1,10.0,0.58,9.42,card,completed,2024-02-01,2024-02-29
30,2024-03-01,4,4,1,10.0,0.0,10.0,card,completed,2024-03-01,2024-03-31
31,2024-04-01,4,4,1,10.0,0.0,10.0,card,completed,2024-04-01,2024-04-30
32,2024-05-01,4,4,1,10.0,0.0,10.0,card,completed,2024-05-01,2024-05-31
33,2024-06-01,4,4,1,10.0,0.0,10.0,card,completed,2024-06-01,2024-06-30
34,2023-07-01,5,5,1,10.0,0.0,10.0,card,completed,2023-07-01,2023-07-31
35,2023-08-01,5,5,1,10.0,0.0,10.0,card,completed,2023-08-01,2023-08-31
36,2023-09-01,5,5,1,10.0,0.58,9.42,card,completed,2023-09-01,2023-09-30
37,2023-10-01,5,5,1,10.0,0.0,10.0,card,completed,2023-10-01,2023-10-31
38,2023-11-01,5,5,1,10.0,0.0,10.0,card,completed,2023-11-01,2023-11-30
39,2023-12-01,5,5,1,10.0,0.0,10.0,card,completed,2023-12-01,2023-12-31
40,2024-01-01,5,5,1,10.0,0.0,10.0,card,completed,2024-01-01,2024-01-31
41,2024-02-01,5,5,1,10.0,0.0,10.0,transfer,completed,2024-02-01,2024-02-29
42,2024-03-01,5,5,1,10.0,0.0,10.0,wallet,completed,2024-03-01,2024-03-31
43,2024-04-01,5,5,1,10.0,0.0,10.0,card,completed,2024-04-01,2024-04-30
44,2024-05-01,5,5,1,10.0,0.0,10.0,wallet,completed,2024-05-01,2024-05-31
45,2024-06-01,5,5,1,10.0,0.0,10.0,card,completed,2024-06-01,2024-06-30
46,2024-04-01,6,6,1,10.0,0.0,10.0,card,completed,2024-04-01,2024-04-30
47,2024-05-25,7,7,4,250.0,0.0,250.0,wallet,completed,2024-05-25,2025-05-24
48,2023-11-30,8,8,4,250.0,0.0,250.0,wallet,completed,2023-11-30,2024-11-29
49,2024-01-01,9,9,2,25.0,4.55,20.45,card,completed,2024-01-01,2024-01-31
50,2024-02-01,9,9,2,25.0,0.0,25.0,wallet,completed,2024-02-01,2024-02-29
51,2024-03-01,9,9,2,25.0,4.31,20.69,card,completed,2024-03-01,2024-03-31
52,2024-04-01,9,9,2,25.0,0.0,25.0,card,completed,2024-04-01,2024-04-30
53,2024-05-01,9,9,2,25.0,0.0,25.0,card,completed,2024-05-01,2024-05-31
54,2024-06-01,9,9,2,25.0,0.0,25.0,wallet,completed,2024-06-01,2024-06-30
55,2024-02-01,10,10,2,25.0,0.0,25.0,card,completed,2024-02-01,2024-02-29
56,2024-03-01,10,10,2,25.0,0.0,25.0,card,completed,2024-03-01,2024-03-31
57,2023-06-01,11,11,2,25.0,5.18,19.82,card,completed,2023-06-01,2023-06-30
58,2023-07-01,11,11,2,25.0,0.0,25.0,card,completed,2023-07-01,2023-07-31
59,2023-08-01,11,11,2,25.0,0.0,25.0,card,completed,2023-08-01,2023-08-31
60,2023-09-01,11,11,2,25.0,0.0,25.0,card,completed,2023-09-01,2023-09-30
61,2023-10-01,11,11,2,25.0,1.87,23.13,card,completed,2023-10-01,2023-10-31
62,2023-11-01,11,11,2,25.0,0.0,25.0,card,completed,2023-11-01,2023-11-30
63,2023-12-01,11,11,2,25.0,0.0,25.0,card,completed,2023-12-01,2023-12-31
64,2024-01-01,11,11,2,25.0,3.91,21.09,card,completed,2024-01-01,2024-01-31
65,2024-02-01,11,11,2,25.0,0.0,25.0,card,completed,2024-02-01,2024-02-29
66,2024-03-01,11,11,2,25.0,0.0,25.0,card,completed,2024-03-01,2024-03-31
67,2024-04-01,11,11,2,25.0,0.0,25.0,card,completed,2024-04-01,2024-04-30
68,2024-05-01,11,11,2,25.0,0.0,0.0,card,failed,2024-05-01,2024-05-31
69,2023-12-01,12,12,1,10.0,0.0,10.0,card,completed,2023-12-01,2023-12-31
70,2024-01-01,12,12,1,10.0,0.0,10.0,card,completed,2024-01-01,2024-01-31
71,2024-02-01,12,12,1,10.0,1.03,8.97,card,completed,2024-02-01,2024-02-29
72,2024-03-01,12,12,1,10.0,0.0,10.0,card,completed,2024-03-01,2024-03-31
73,2024-04-01,12,12,1,10.0,0.64,9.36,wallet,completed,2024-04-01,2024-04-30
74,2024-05-01,12,12,1,10.0,0.51,9.49,card,completed,2024-05-01,2024-05-31
75,2024-06-01,12,12,1,10.0,1.43,8.57,card,completed,2024-06-01,2024-06-30
76,2023-12-01,13,13,2,25.0,2.57,22.43,card,completed,2023-12-01,2023-12-31
77,2024-01-01,13,13,2,25.0,4.1,20.9,card,completed,2024-01-01,2024-01-31
